,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q52,Q23,Q24,Q25,Q26,Q27,Q28,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q51,Q29,Q31,Q33,Q35,Q37,Q40,Q42,Q44,Q46,Q48,Q30,Q32,Q34,Q36,Q38,Q39,Q41,Q43,Q45,Q47,Q80,Q81
0,,,,,,41,-40,40,41,41,42,,,,40,40,-39,,,,,,-39,40,-36,-39,-38,,,,,,,,,,,,-41,-27,41,-30,38,-41,-38,-40,-38,39,41,
2,,,,,,50,30,50,50,50,,,,,24,50,31,,,,,,-29,46,0,40,17,-50,,,,,,,,,,,21,31,27,50,33,24,32,28,22,33,50,
3,50,50,27,50,50,,,,,,,-50,50,-50,,,,-50,-50,-50,-50,-50,,,,,,-50,50,-50,,-50,45,-50,50,-50,50,47,,,,,,,,,,,,-26
4,,,,,,44,42,45,44,45,46,,,,46,43,43,,,,,,44,44,43,44,45,,,,,,,,,,,,44,45,42,43,44,43,44,44,45,44,44,
5,50,50,50,-50,-50,,,,,,,-50,50,-50,,,,50,-50,50,-50,50,,,,,,50,50,50,50,-50,50,-50,50,-50,-50,50,,,,,,,,,,,,50
7,,,,,,50,44,48,50,50,,,,,49,50,-21,,,,,,50,-34,-42,41,-35,-50,,,,,,,,,,,50,39,47,50,50,-50,-16,35,-50,43,46,
8,50,-22,50,50,50,,,,,,50,22,23,-34,,,,25,26,-26,24,32,,,,,,,29,9,-27,-29,40,-29,37,50,23,-19,,,,,,,,,,,,50
9,36,50,24,50,50,,,,,,50,-38,-36,33,,,,-24,-38,18,-34,16,,,,,,,-44,-38,-40,-29,40,-43,33,-44,-41,37,,,,,,,,,,,,50
10,50,50,50,50,36,,,,,,50,-50,43,30,,,,-47,-43,-29,-50,-40,,,,,,,50,-33,20,-18,50,-34,50,50,-21,50,,,,,,,,,,,,50
11,,,,,,50,49,50,50,50,,,,,50,50,50,,,,,,50,50,50,50,50,50,,,,,,,,,,,50,50,50,50,50,50,50,50,50,50,50,
12,29,50,50,50,50,,,,,,50,7,42,37,,,,19,-25,42,-16,50,,,,,,,39,20,34,38,33,-11,30,38,-13,50,,,,,,,,,,,,50
13,,,,,,43,-19,43,50,50,,,,,45,50,-42,,,,,,-50,-50,-41,-41,-43,-42,,,,,,,,,,,-41,-50,44,-50,-50,-42,-42,50,-40,-22,50,
15,50,50,50,24,50,,,,,,50,-50,50,50,,,,-33,-29,-22,-50,-37,,,,,,,50,-50,22,-30,50,-50,49,50,-28,26,,,,,,,,,,,,50
16,,,,,,50,50,50,48,49,50,,,,50,-46,50,,,,,,,-50,50,45,-50,,,,,,,,,,,,50,50,-50,50,50,-50,50,50,-50,45,50,
17,50,50,50,50,50,,,,,,,-50,50,-50,,,,-50,-50,-50,-50,-50,,,,,,-50,50,-50,-50,-50,-50,-50,50,-50,-50,50,,,,,,,,,,,,50
18,46,50,50,46,43,,,,,,50,39,48,44,,,,47,41,49,46,50,,,,,,,49,49,48,47,47,38,49,41,46,48,,,,,,,,,,,,50
19,50,50,45,50,49,,,,,,46,28,45,45,,,,50,8,47,34,29,,,,,,,50,39,50,45,50,13,50,45,50,50,,,,,,,,,,,,50
20,18,25,22,28,13,,,,,,,9,11,10,,,,-19,10,-14,-21,-12,,,,,,-7,21,-18,27,-9,14,-34,19,-10,-20,19,,,,,,,,,,,,34
21,,,,,,50,0,50,50,48,,,,,50,50,50,,,,,,,33,-11,37,30,-33,,,,,,,,,,,49,50,50,50,50,50,27,50,1,50,50,
22,14,43,38,-41,-15,,,,,,28,-50,20,-50,,,,-50,-50,-50,-50,-50,,,,,,,-35,-50,-50,-29,-41,-50,-50,-50,-50,-50,,,,,,,,,,,,50
23,,,,,,50,-19,50,42,50,,,,,38,38,-12,,,,,,,-20,-40,-5,-41,-50,,,,,,,,,,,-24,31,-11,23,34,-41,-22,40,-46,-22,50,
25,43,50,50,42,40,,,,,,,-42,40,50,,,,18,-43,-40,-40,-41,,,,,,-45,-43,-40,26,-40,21,-42,-17,-40,-44,50,,,,,,,,,,,,50
26,,,,,,47,34,50,44,50,,,,,50,-9,17,,,,,,39,42,44,-21,29,-37,,,,,,,,,,,41,43,41,42,38,-22,50,37,41,43,43,
27,,,,,,50,50,50,50,50,50,,,,44,50,28,,,,,,40,42,-35,32,-50,,,,,,,,,,,,50,50,50,50,50,15,50,22,50,50,50,
28,40,40,39,-26,43,,,,,,,-31,,41,,,,37,-24,-19,,50,,,,,,,37,43,37,46,42,-28,37,-30,47,37,,,,,,,,,,,,45
29,45,45,45,44,44,,,,,,,45,44,43,,,,44,,44,43,43,,,,,,,,43,43,44,43,43,42,44,44,44,,,,,,,,,,,,45
30,50,50,50,50,50,,,,,,50,6,50,50,,,,10,1,40,21,22,,,,,,,50,20,50,50,50,28,50,50,50,50,,,,,,,,,,,,50
31,,,,,,50,48,50,46,50,50,,,,50,50,48,,,,,,50,45,46,50,45,,,,,,,,,,,,45,50,48,50,47,32,48,44,44,50,50,
32,40,47,15,45,32,,,,,,,39,43,21,,,,11,7,-24,11,24,,,,,,-39,44,40,,22,39,28,31,39,43,23,,,,,,,,,,,,46
33,,,,,,50,43,50,50,50,50,,,,50,50,-39,,,,,,-22,-23,-42,-29,-50,,,,,,,,,,,,21,-22,50,41,45,30,32,37,-23,41,50,
34,,,,,,50,-50,50,50,50,,,,,50,50,-50,,,,,,,-50,-50,-49,-50,-50,,,,,,,,,,,-50,-50,-50,-50,-28,-50,-50,-50,-50,-50,50,
35,,,,,,32,13,25,12,39,25,,,,21,43,13,,,,,,24,-21,-10,-14,-23,,,,,,,,,,,,22,29,21,23,21,42,26,-4,4,19,17,
36,34,35,-16,35,25,,,,,,,-40,7,34,,,,-35,-38,-30,-39,1,,,,,,-35,0,-32,20,12,17,0,-24,0,7,10,,,,,,,,,,,,39
37,33,41,48,34,36,,,,,,44,25,39,39,,,,-32,21,39,39,8,,,,,,,39,42,35,23,40,26,32,36,44,29,,,,,,,,,,,,36
38,,,,,,50,-13,50,50,50,50,,,,50,49,-37,,,,,,,,-22,-22,-23,,,,,,,,,,,,29,-14,29,50,50,50,27,-24,-9,-8,30,
40,50,50,50,50,44,,,,,,50,-26,41,30,,,,-7,-49,3,3,-25,,,,,,,11,5,8,7,-20,-29,50,26,10,-24,,,,,,,,,,,,42
41,42,42,22,34,37,,,,,,,-50,35,37,,,,-25,-38,-33,-50,-31,,,,,,-50,-4,-41,-25,-36,-44,-50,-39,-44,-39,32,,,,,,,,,,,,35
42,50,50,50,50,50,,,,,,,-50,-50,-50,,,,-50,-50,50,-50,17,,,,,,-50,50,-50,21,-50,-30,-50,50,-50,-50,26,,,,,,,,,,,,50
43,21,41,11,0,26,,,,,,,-42,4,17,,,,-36,-50,-13,-9,0,,,,,,-37,21,4,11,-8,5,-40,0,-17,-20,33,,,,,,,,,,,,50
44,,,,,,33,29,38,25,28,,,,,22,18,30,,,,,,25,9,15,20,17,16,,,,,,,,,,,20,23,38,33,18,18,12,35,24,31,14,
45,,,,,,40,42,40,46,40,26,,,,44,36,42,,,,,,44,42,42,38,45,,,,,,,,,,,,33,42,49,46,42,43,39,44,44,41,46,
46,41,50,40,38,44,,,,,,50,-39,44,31,,,,-38,-27,-35,-37,-34,,,,,,,30,29,50,50,43,-28,38,41,42,-20,,,,,,,,,,,,50
47,,,,,,50,0,50,50,50,,,,,50,50,50,,,,,,50,50,50,49,-33,-50,,,,,,,,,,,50,50,50,49,49,42,50,50,50,50,50,
48,,,,,,50,-50,50,50,50,50,,,,50,50,-50,,,,,,50,18,50,50,-21,,,,,,,,,,,,-26,31,-23,50,50,50,-21,50,-21,22,50,
50,50,50,50,50,50,,,,,,50,23,50,50,,,,50,8,50,39,50,,,,,,,50,50,50,50,50,33,50,50,40,50,,,,,,,,,,,,50
51,12,50,-50,50,-50,,,,,,,-50,-50,-50,,,,-50,-50,-8,-50,12,,,,,,-50,-50,-50,10,-50,-50,-50,-50,-50,-50,-50,,,,,,,,,,,,50
52,,,,,,41,42,45,42,42,,,,,37,27,34,,,,,,42,44,42,43,28,-22,,,,,,,,,,,6,20,9,46,47,15,35,-22,29,26,45,
53,,,,,,46,33,47,50,50,46,,,,46,46,-18,,,,,,29,,30,35,-16,,,,,,,,,,,,18,43,19,-35,44,-35,31,43,-24,22,45,
55,41,44,42,42,45,,,,,,,-42,-26,-50,,,,-42,-45,50,-42,-50,,,,,,-48,44,-41,43,-43,44,-46,50,-42,-50,44,,,,,,,,,,,,43
56,50,50,16,50,37,,,,,,,-50,43,50,,,,-24,-50,35,-50,50,,,,,,-50,28,-15,43,-50,-12,-50,13,-39,-50,50,,,,,,,,,,,,50
57,50,50,50,50,50,,,,,,50,-31,50,30,,,,-50,-18,-50,-50,23,,,,,,,50,-24,-50,-21,50,-50,21,-50,-20,50,,,,,,,,,,,,50
58,,,,,,50,49,50,50,50,,,,,42,50,-26,,,,,,42,50,-41,-33,-39,-50,,,,,,,,,,,-29,-24,-23,50,25,-50,-19,-10,-50,18,50,
59,,,,,,50,-29,50,50,50,50,,,,50,50,38,,,,,,50,50,50,50,47,,,,,,,,,,,,10,-20,50,50,50,41,-8,-22,-42,50,50,
60,50,50,50,38,50,,,,,,,-35,34,-50,,,,-23,-36,-50,-40,50,,,,,,-50,50,-32,44,23,45,-29,26,-50,-50,22,,,,,,,,,,,,50
61,50,-50,-24,-50,10,,,,,,,50,32,-50,,,,47,50,-50,50,0,,,,,,-50,0,17,29,15,50,-50,50,-50,-50,50,,,,,,,,,,,,-43
62,,,,,,50,-21,50,50,50,50,,,,-18,38,-35,,,,,,-26,-36,-28,-17,-22,,,,,,,,,,,,50,-19,50,-23,24,50,37,50,-47,50,50,
63,50,50,50,50,50,,,,,,,-49,50,50,,,,37,-50,30,-50,0,,,,,,-50,16,-50,27,30,-50,-50,50,-50,-50,34,,,,,,,,,,,,50
64,,,,,,50,9,50,50,50,,,,,-44,42,-28,,,,,,28,-50,-24,9,-50,-50,,,,,,,,,,,13,-48,-30,-32,27,-18,-40,-50,-41,-25,50,
65,,,,,,43,1,44,43,43,42,,,,42,43,0,,,,,,43,42,3,43,0,,,,,,,,,,,,44,42,42,42,42,43,44,43,44,42,44,
66,,,,,,42,50,50,48,17,50,,,,40,50,-30,,,,,,14,-37,36,15,-38,,,,,,,,,,,,44,44,42,50,45,50,39,14,-15,12,42,
67,,,,,,44,-49,44,46,47,43,,,,-33,45,-49,,,,,,47,-48,-45,-50,-46,,,,,,,,,,,,-40,-44,-49,-44,49,-43,-45,-50,-50,-37,44,
68,50,50,-28,50,50,,,,,,50,-50,27,-45,,,,-50,-50,-48,-50,-50,,,,,,,27,-50,-23,-50,-50,-50,50,-50,-50,50,,,,,,,,,,,,50
